#Timestamp (UTC_TIME),VARIABLE: TT60.BCTFI.610225:INT_EXTR1
2016-08-16 00:00:31.335,15.702
2016-08-16 00:01:04.935,14.139
2016-08-16 00:01:38.535,15.344
2016-08-16 00:02:12.135,15.203
2016-08-16 00:02:45.735,13.494
2016-08-16 00:03:19.335,15.335
2016-08-16 00:03:52.935,0.932
2016-08-16 00:04:26.535,2.829
2016-08-16 00:05:00.135,4.633
2016-08-16 00:05:33.735,1.271
2016-08-16 00:06:07.335,12.451
2016-08-16 00:06:40.935,14.189
2016-08-16 00:07:14.535,15.869
2016-08-16 00:07:48.135,14.682
2016-08-16 00:08:21.735,13.957
2016-08-16 00:08:55.335,13.961
2016-08-16 00:09:28.935,14.359
2016-08-16 00:10:02.535,14.557
2016-08-16 00:10:36.135,15.033
2016-08-16 00:11:09.735,1.493
2016-08-16 00:11:43.335,0.871
2016-08-16 00:12:16.935,0.122
2016-08-16 00:12:50.535,0.568
2016-08-16 00:13:24.135,14.673
2016-08-16 00:13:57.735,0.839
2016-08-16 00:14:31.335,0.363
2016-08-16 00:15:04.935,14.642
2016-08-16 00:15:38.535,1.762
2016-08-16 00:16:12.135,15.253
2016-08-16 00:16:45.735,13.327
2016-08-16 00:17:19.335,13.938
2016-08-16 00:17:52.935,16.753
2016-08-16 00:18:26.535,14.51
2016-08-16 00:19:00.135,16.878
2016-08-16 00:19:33.735,13.725
2016-08-16 00:20:07.335,18.276
2016-08-16 00:20:40.935,13.543
2016-08-16 00:21:14.535,16.853
2016-08-16 00:21:48.135,1.306
2016-08-16 00:22:21.735,1.028
2016-08-16 00:22:55.335,0.592
2016-08-16 00:23:28.935,1.046
2016-08-16 00:24:02.535,0.707
2016-08-16 00:24:36.135,1.379
2016-08-16 00:25:09.735,0.896
2016-08-16 00:25:43.335,0.33
2016-08-16 00:26:16.935,14.051
2016-08-16 00:26:50.535,1.5
2016-08-16 00:27:24.135,0.938
2016-08-16 00:27:57.735,1.696
2016-08-16 00:28:31.335,3.978
2016-08-16 00:29:04.935,2.875
2016-08-16 00:29:38.535,2.814
2016-08-16 00:30:12.135,2.581
2016-08-16 00:30:45.735,0.805
2016-08-16 00:31:19.335,13.946
2016-08-16 00:31:52.935,13.524
2016-08-16 00:32:26.535,16.425
2016-08-16 00:33:00.135,15.477
2016-08-16 00:33:33.735,15.858
2016-08-16 00:34:07.335,14.393
2016-08-16 00:34:40.935,13.598
2016-08-16 00:35:14.535,13.959
2016-08-16 00:35:48.135,17.145
2016-08-16 00:36:21.735,14.102
2016-08-16 00:36:55.335,13.447
2016-08-16 00:37:28.935,13.226
2016-08-16 00:38:02.535,13.79
2016-08-16 00:38:36.135,16.833
2016-08-16 00:39:09.735,13.625
2016-08-16 00:39:43.335,13.4
2016-08-16 00:40:16.935,14.943
2016-08-16 00:40:50.535,13.995
2016-08-16 00:41:24.135,13.741
2016-08-16 00:41:57.735,13.976
2016-08-16 00:42:31.335,18.462
2016-08-16 00:43:04.935,14.334
2016-08-16 00:43:38.535,16.275
2016-08-16 00:44:12.135,15.895
2016-08-16 00:44:45.735,14.735
2016-08-16 00:45:19.335,14.847
2016-08-16 00:45:52.935,15.497
2016-08-16 00:46:26.535,14.961
2016-08-16 00:47:00.135,15.5
2016-08-16 00:47:33.735,13.472
2016-08-16 00:48:07.335,17.196
2016-08-16 00:48:40.935,14.695
2016-08-16 00:49:14.535,15.407
2016-08-16 00:49:48.135,13.328
2016-08-16 00:50:21.735,14.849
2016-08-16 00:50:55.335,14.559
2016-08-16 00:51:28.935,13.489
2016-08-16 00:52:02.535,16.178
2016-08-16 00:52:36.135,13.759
2016-08-16 00:53:09.735,16.618
2016-08-16 00:53:43.335,14.42
2016-08-16 00:54:16.935,19.108
2016-08-16 00:54:50.535,15.629
2016-08-16 00:55:24.135,14.77
2016-08-16 00:55:57.735,15.044
2016-08-16 00:56:31.335,14.905
2016-08-16 00:57:04.935,14.839
2016-08-16 00:57:38.535,16.117
2016-08-16 00:58:12.135,12.94
2016-08-16 00:58:45.735,14.12
2016-08-16 00:59:19.335,0.62
2016-08-16 00:59:52.935,3.944
2016-08-16 01:00:26.535,1.033
2016-08-16 01:01:00.135,2.915
2016-08-16 01:01:33.735,3.411
2016-08-16 01:02:07.335,0.603
2016-08-16 01:02:40.935,2.995
2016-08-16 01:03:14.535,0.691
2016-08-16 01:03:48.135,2.53
2016-08-16 01:04:21.735,0.633
2016-08-16 01:04:55.335,3.11
2016-08-16 01:05:28.935,4.448
2016-08-16 01:06:02.535,1.775
2016-08-16 01:06:36.135,1.836
2016-08-16 01:07:09.735,2.564
2016-08-16 01:07:43.335,12.86
2016-08-16 01:08:16.935,9.976
2016-08-16 01:08:50.535,8.857
2016-08-16 01:09:24.135,11.35
2016-08-16 01:09:57.735,7.853
2016-08-16 01:10:31.335,9.978
2016-08-16 01:11:04.935,7.707
2016-08-16 01:11:38.535,8.822
2016-08-16 01:12:12.135,9.318
2016-08-16 01:12:45.735,9.749
2016-08-16 01:13:19.335,6.911
2016-08-16 01:13:52.935,12.027
2016-08-16 01:14:26.535,9.667
2016-08-16 01:15:00.135,6.985
2016-08-16 01:15:33.735,10.595
2016-08-16 01:16:07.335,9.96
2016-08-16 01:16:40.935,8.779
2016-08-16 01:17:14.535,10.574
2016-08-16 01:17:48.135,8.56
2016-08-16 01:18:21.735,8.459
2016-08-16 01:18:55.335,7.53
2016-08-16 01:19:28.935,7.186
2016-08-16 01:20:02.535,9.078
2016-08-16 01:20:36.135,8.345
2016-08-16 01:21:09.735,8.231
2016-08-16 01:21:43.335,8.674
2016-08-16 01:22:16.935,7.795
2016-08-16 01:22:50.535,8.976
2016-08-16 01:23:24.135,9.476
2016-08-16 01:23:57.735,7.024
2016-08-16 01:24:31.335,9.71
2016-08-16 01:25:04.935,8.583
2016-08-16 01:25:38.535,8.325
2016-08-16 01:26:12.135,8.733
2016-08-16 01:26:45.735,7.484
2016-08-16 01:27:19.335,7.514
2016-08-16 01:27:52.935,8.775
2016-08-16 01:28:26.535,8.549
2016-08-16 01:29:00.135,10.369
2016-08-16 01:29:33.735,9.493
2016-08-16 01:30:07.335,13.118
2016-08-16 01:30:40.935,7.655
2016-08-16 01:31:14.535,8.236
2016-08-16 01:31:48.135,10.077
2016-08-16 01:32:21.735,8.125
2016-08-16 01:32:55.335,7.646
2016-08-16 01:33:28.935,8.935
2016-08-16 01:34:02.535,6.847
2016-08-16 01:34:36.135,7.385
2016-08-16 01:35:09.735,11.609
2016-08-16 01:35:43.335,10.636
2016-08-16 01:36:16.935,7.1
2016-08-16 01:36:50.535,10.587
2016-08-16 01:37:24.135,8.899
2016-08-16 01:37:57.735,12.628
2016-08-16 01:38:31.335,7.982
2016-08-16 01:39:04.935,8.288
2016-08-16 01:39:38.535,10.071
2016-08-16 01:40:12.135,9.912
2016-08-16 01:40:45.735,8.188
2016-08-16 01:41:19.335,1.594
2016-08-16 01:41:52.935,6.906
2016-08-16 01:42:26.535,4.204
2016-08-16 01:43:00.135,1.927
2016-08-16 01:43:33.735,0.726
2016-08-16 01:44:07.335,0.826
2016-08-16 01:44:40.935,2.8
2016-08-16 01:45:14.535,1.843
2016-08-16 01:45:48.135,0.682
2016-08-16 01:46:21.735,1.887
2016-08-16 01:46:55.335,2.571
2016-08-16 01:47:28.935,0.946
2016-08-16 01:48:02.535,1.114
2016-08-16 01:48:36.135,1.145
2016-08-16 01:49:09.735,0.75
2016-08-16 01:49:43.335,1.207
2016-08-16 01:50:16.935,2.203
2016-08-16 01:50:50.535,0.604
2016-08-16 01:51:24.135,1.58
2016-08-16 01:51:57.735,0.267
2016-08-16 01:52:31.335,0.336
2016-08-16 01:53:04.935,0.694
2016-08-16 01:53:38.535,1.811
2016-08-16 01:54:12.135,1.638
2016-08-16 01:54:45.735,1.34
2016-08-16 01:55:19.335,0.472
2016-08-16 01:55:52.935,0.843
2016-08-16 01:56:26.535,0.624
2016-08-16 01:57:00.135,0.909
2016-08-16 01:57:33.735,1.714
2016-08-16 01:58:07.335,1.243
2016-08-16 01:58:40.935,1.602
2016-08-16 01:59:14.535,2.807
2016-08-16 01:59:48.135,3.703
2016-08-16 02:00:21.735,0.615
2016-08-16 02:00:55.335,0.726
2016-08-16 02:01:28.935,1.438
2016-08-16 02:02:02.535,1.751
2016-08-16 02:02:36.135,1.351
2016-08-16 02:03:09.735,0.648
2016-08-16 02:03:43.335,1.08
2016-08-16 02:04:16.935,2.443
2016-08-16 02:04:50.535,1.184
2016-08-16 02:05:24.135,0.786
2016-08-16 02:05:57.735,5.463
2016-08-16 02:06:31.335,1.527
2016-08-16 02:07:04.935,2.984
2016-08-16 02:07:38.535,0.73
2016-08-16 02:08:12.135,0.456
2016-08-16 02:08:45.735,1.647
2016-08-16 02:09:19.335,2.187
2016-08-16 02:09:52.935,0.609
2016-08-16 02:10:26.535,0.276
2016-08-16 02:11:00.135,0.762
2016-08-16 02:11:33.735,0.29
2016-08-16 02:12:07.335,1.664
2016-08-16 02:12:40.935,2.953
2016-08-16 02:13:14.535,0.883
2016-08-16 02:13:48.135,1.681
2016-08-16 02:14:21.735,0.301
2016-08-16 02:14:55.335,1.202
2016-08-16 02:15:28.935,1.009
2016-08-16 02:16:02.535,0.391
2016-08-16 02:16:36.135,1.363
2016-08-16 02:17:09.735,1.059
2016-08-16 02:17:43.335,0.231
2016-08-16 02:18:16.935,3.393
2016-08-16 02:18:50.535,2.729
2016-08-16 02:19:24.135,1.844
2016-08-16 02:19:57.735,0.667
2016-08-16 02:20:31.335,2.879
2016-08-16 02:21:04.935,2.886
2016-08-16 02:21:38.535,1.025
2016-08-16 02:22:12.135,1.643
2016-08-16 02:22:45.735,0.95
2016-08-16 02:23:19.335,1.325
2016-08-16 02:23:52.935,2.464
2016-08-16 02:24:26.535,2.324
2016-08-16 02:25:00.135,2.549
2016-08-16 02:25:33.735,2.756
2016-08-16 02:26:07.335,2.023
2016-08-16 02:26:40.935,1.66
2016-08-16 02:27:14.535,2.516
2016-08-16 02:27:48.135,0.459
2016-08-16 02:28:21.735,1.291
2016-08-16 02:28:55.335,3.443
2016-08-16 02:29:28.935,1.012
2016-08-16 02:30:02.535,1.355
2016-08-16 02:30:36.135,0.27
2016-08-16 02:31:09.735,0.567
2016-08-16 02:31:43.335,1.988
2016-08-16 02:32:16.935,0.975
2016-08-16 02:32:50.535,1.101
2016-08-16 02:33:24.135,1.558
2016-08-16 02:33:57.735,0.822
2016-08-16 02:34:31.335,1.497
2016-08-16 02:35:04.935,0.875
2016-08-16 02:35:38.535,0.593
2016-08-16 02:36:12.135,0.544
2016-08-16 02:36:45.735,0.616
2016-08-16 02:37:19.335,2.18
2016-08-16 02:37:52.935,1.29
2016-08-16 02:38:26.535,0.858
2016-08-16 02:39:00.135,1.793
2016-08-16 02:39:33.735,1.49
2016-08-16 02:40:07.335,0.848
2016-08-16 02:40:40.935,1.213
2016-08-16 02:41:14.535,1.14
2016-08-16 02:41:48.135,3.747
2016-08-16 02:42:21.735,0.481
2016-08-16 02:42:55.335,1.133
2016-08-16 02:43:28.935,1.579
2016-08-16 02:44:02.535,1.138
2016-08-16 02:44:36.135,1.228
2016-08-16 02:45:09.735,0.767
2016-08-16 02:45:43.335,3.101
2016-08-16 02:46:16.935,1.062
2016-08-16 02:46:50.535,0.714
2016-08-16 02:47:24.135,3.417
2016-08-16 02:47:57.735,3.846
2016-08-16 02:48:31.335,0.671
2016-08-16 02:49:04.935,0.564
2016-08-16 02:49:38.535,2.442
2016-08-16 02:50:12.135,2.488
2016-08-16 02:50:45.735,0.984
2016-08-16 02:51:19.335,1.089
2016-08-16 02:51:52.935,1.142
2016-08-16 02:52:26.535,2.878
2016-08-16 02:53:00.135,1.173
2016-08-16 02:53:33.735,1.577
2016-08-16 02:54:07.335,0.493
2016-08-16 02:54:40.935,4.172
2016-08-16 02:55:14.535,0.825
2016-08-16 02:55:48.135,0.847
2016-08-16 02:56:21.735,2.177
2016-08-16 02:56:55.335,0.946
2016-08-16 02:57:28.935,6.193
2016-08-16 02:58:02.535,0.157
2016-08-16 02:58:36.135,0.108
2016-08-16 02:59:09.735,3.479
2016-08-16 02:59:43.335,1.518
2016-08-16 03:00:16.935,0.748
2016-08-16 03:00:50.535,0.44
2016-08-16 03:01:24.135,0.355
2016-08-16 03:01:57.735,1.191
2016-08-16 03:02:31.335,0.539
2016-08-16 03:03:04.935,2.445
2016-08-16 03:03:38.535,1.188
2016-08-16 03:04:12.135,1.085
2016-08-16 03:04:45.735,3.689
2016-08-16 03:05:19.335,4.111
2016-08-16 03:05:52.935,1.184
2016-08-16 03:06:26.535,1.98
2016-08-16 03:07:00.135,0.996
2016-08-16 03:07:33.735,1.623
2016-08-16 03:08:07.335,5.873
2016-08-16 03:08:40.935,2.368
2016-08-16 03:09:14.535,1.802
2016-08-16 03:09:48.135,1.825
2016-08-16 03:10:21.735,1.248
2016-08-16 03:10:55.335,0.788
2016-08-16 03:11:28.935,0.4
2016-08-16 03:12:02.535,1.136
2016-08-16 03:12:36.135,1.479
2016-08-16 03:13:09.735,2.96
2016-08-16 03:13:43.335,1.29
2016-08-16 03:14:16.935,0.634
2016-08-16 03:14:50.535,0.409
2016-08-16 03:15:24.135,2.236
2016-08-16 03:15:57.735,0.631
2016-08-16 03:16:31.335,1.704
2016-08-16 03:17:04.935,1.168
2016-08-16 03:17:38.535,0.938
2016-08-16 03:18:12.135,0.916
2016-08-16 03:18:45.735,1.157
2016-08-16 03:19:19.335,0.774
2016-08-16 03:19:52.935,3.613
2016-08-16 03:20:26.535,0.164
2016-08-16 03:21:00.135,1.529
2016-08-16 03:21:33.735,1.324
2016-08-16 03:22:07.335,1.078
2016-08-16 03:22:40.935,2.691
2016-08-16 03:23:14.535,1.054
2016-08-16 03:23:48.135,0.797
2016-08-16 03:24:21.735,1.136
2016-08-16 03:24:55.335,1.391
2016-08-16 03:25:28.935,1.458
2016-08-16 03:26:02.535,4.218
2016-08-16 03:26:36.135,0.912
2016-08-16 03:27:09.735,0.785
2016-08-16 03:27:43.335,1.829
2016-08-16 03:28:16.935,0.71
2016-08-16 03:28:50.535,1.924
2016-08-16 03:29:24.135,0.693
2016-08-16 03:29:57.735,2.039
2016-08-16 03:30:31.335,0.94
2016-08-16 03:31:04.935,4.365
2016-08-16 03:31:38.535,1.31
2016-08-16 03:32:12.135,0.777
2016-08-16 03:32:45.735,2.039
2016-08-16 03:33:19.335,0.722
2016-08-16 03:33:52.935,0.869
2016-08-16 03:34:26.535,1.041
2016-08-16 03:35:00.135,0.327
2016-08-16 03:35:33.735,4.384
2016-08-16 03:36:07.335,1.487
2016-08-16 03:36:40.935,2.914
2016-08-16 03:37:14.535,0.513
2016-08-16 03:37:48.135,0.614
2016-08-16 03:38:21.735,2.312
2016-08-16 03:38:55.335,0.755
2016-08-16 03:39:28.935,2.448
2016-08-16 03:40:02.535,0.847
2016-08-16 03:40:36.135,1.613
2016-08-16 03:41:09.735,0.338
2016-08-16 03:41:43.335,0.929
2016-08-16 03:42:16.935,4.788
2016-08-16 03:42:50.535,0.68
2016-08-16 03:43:24.135,0.263
2016-08-16 03:43:57.735,0.895
2016-08-16 03:44:31.335,5.468
2016-08-16 03:45:04.935,0.9
2016-08-16 03:45:38.535,0.646
2016-08-16 03:46:12.135,0.371
2016-08-16 03:46:45.735,1.937
2016-08-16 03:47:19.335,0.828
2016-08-16 03:47:52.935,1.157
2016-08-16 03:48:26.535,1.52
2016-08-16 03:49:00.135,2.23
2016-08-16 03:49:33.735,1.117
2016-08-16 03:50:07.335,1.449
2016-08-16 03:50:40.935,0.428
2016-08-16 03:51:14.535,2.306
2016-08-16 03:51:48.135,0.252
2016-08-16 03:52:21.735,2.092
2016-08-16 03:52:55.335,0.323
2016-08-16 03:53:28.935,2.867
2016-08-16 03:54:02.535,0.967
2016-08-16 03:54:36.135,0.985
2016-08-16 03:55:09.735,0.558
2016-08-16 03:55:43.335,2.304
2016-08-16 03:56:16.935,0.29
2016-08-16 03:56:50.535,1.002
2016-08-16 03:57:24.135,1.413
2016-08-16 03:57:57.735,1.097
2016-08-16 03:58:31.335,0.758
2016-08-16 03:59:04.935,2.161
2016-08-16 03:59:38.535,1.845
2016-08-16 04:00:12.135,0.854
2016-08-16 04:00:45.735,1.733
2016-08-16 04:01:19.335,0.733
2016-08-16 04:01:52.935,0.968
2016-08-16 04:02:26.535,3.465
2016-08-16 04:03:00.135,2.023
2016-08-16 04:03:33.735,1.364
2016-08-16 04:04:07.335,1.358
2016-08-16 04:04:40.935,0.556
2016-08-16 04:05:14.535,0.788
2016-08-16 04:05:48.135,1.198
2016-08-16 04:06:21.735,1.061
2016-08-16 04:06:55.335,0.106
2016-08-16 04:07:28.935,0.415
2016-08-16 04:08:02.535,0.35
2016-08-16 04:08:36.135,0.978
2016-08-16 04:09:09.735,1.88
2016-08-16 04:09:43.335,2.148
2016-08-16 04:10:16.935,4.024
2016-08-16 04:10:50.535,0.577
2016-08-16 04:11:24.135,0.878
2016-08-16 04:11:57.735,1.544
2016-08-16 04:12:31.335,1.13
2016-08-16 04:13:04.935,0.502
2016-08-16 04:13:38.535,1.075
2016-08-16 04:14:12.135,0.939
2016-08-16 04:14:45.735,1.067
2016-08-16 04:15:19.335,2.244
2016-08-16 04:15:52.935,0.727
2016-08-16 04:16:26.535,1.579
2016-08-16 04:17:00.135,0.821
2016-08-16 04:17:33.735,2.005
2016-08-16 04:18:07.335,0.502
2016-08-16 04:18:40.935,0.106
2016-08-16 04:19:14.535,0.576
2016-08-16 04:19:48.135,2.138
2016-08-16 04:20:21.735,2.924
2016-08-16 04:20:55.335,1.116
2016-08-16 04:21:28.935,3.711
2016-08-16 04:22:02.535,1.269
2016-08-16 04:22:36.135,1.293
2016-08-16 04:23:09.735,2.026
2016-08-16 04:23:43.335,1.328
2016-08-16 04:24:16.935,1.37
2016-08-16 04:24:50.535,2.791
2016-08-16 04:25:24.135,0.29
2016-08-16 04:25:57.735,0.774
2016-08-16 04:26:31.335,1
2016-08-16 04:27:04.935,1.614
2016-08-16 04:27:38.535,2.455
2016-08-16 04:28:12.135,3.565
2016-08-16 04:28:45.735,1.613
2016-08-16 04:29:19.335,2.696
2016-08-16 04:29:52.935,0.442
2016-08-16 04:30:26.535,1.175
2016-08-16 04:31:00.135,0.621
2016-08-16 04:31:33.735,2.022
2016-08-16 04:32:07.335,3.792
2016-08-16 04:32:40.935,0.671
2016-08-16 04:33:14.535,0.54
2016-08-16 04:33:48.135,1.671
2016-08-16 04:34:21.735,0.89
2016-08-16 04:34:55.335,1.013
2016-08-16 04:35:28.935,2.729
2016-08-16 04:36:02.535,2.18
2016-08-16 04:36:36.135,1.022
2016-08-16 04:37:09.735,2.718
2016-08-16 04:37:43.335,1.444
2016-08-16 04:38:16.935,1.28
2016-08-16 04:38:50.535,2.217
2016-08-16 04:39:24.135,0.643
2016-08-16 04:39:57.735,3.315
2016-08-16 04:40:31.335,1.454
2016-08-16 04:41:04.935,0.675
2016-08-16 04:41:38.535,0.877
2016-08-16 04:42:12.135,1.418
2016-08-16 04:42:45.735,0.879
2016-08-16 04:43:19.335,1.108
2016-08-16 04:43:52.935,0.949
2016-08-16 04:44:26.535,1.678
2016-08-16 04:45:00.135,4.833
2016-08-16 04:45:33.735,0.563
2016-08-16 04:46:07.335,0.95
2016-08-16 04:46:40.935,1.389
2016-08-16 04:47:14.535,0.373
2016-08-16 04:47:48.135,0.426
2016-08-16 04:48:21.735,1.376
2016-08-16 04:48:55.335,1.334
2016-08-16 04:49:28.935,2.548
2016-08-16 04:50:02.535,4.628
2016-08-16 04:50:36.135,4.503
2016-08-16 04:51:09.735,3.255
2016-08-16 04:51:43.335,2.948
2016-08-16 08:07:52.935,1.047
2016-08-16 08:08:26.535,0.78
2016-08-16 08:09:00.135,1.674
2016-08-16 08:09:33.735,1.219
2016-08-16 08:10:07.335,2.387
2016-08-16 08:10:40.935,1.435
2016-08-16 08:11:14.535,0.948
2016-08-16 08:11:48.135,1.149
2016-08-16 08:12:21.735,1.378
2016-08-16 08:12:55.335,3.405
2016-08-16 08:13:28.935,1.383
2016-08-16 08:14:02.535,1.014
2016-08-16 08:14:36.135,0.821
2016-08-16 08:15:09.735,2.798
2016-08-16 08:15:43.335,1.531
2016-08-16 08:16:16.935,0.593
2016-08-16 08:16:50.535,1.698
2016-08-16 08:17:24.135,2.333
2016-08-16 08:17:57.735,0.706
2016-08-16 08:18:31.335,2.209
2016-08-16 08:19:04.935,2.017
2016-08-16 08:19:38.535,0.816
2016-08-16 08:20:12.135,4.937
2016-08-16 08:20:45.735,2.314
2016-08-16 08:21:19.335,1.219
2016-08-16 08:21:52.935,5.809
2016-08-16 08:22:26.535,1.648
2016-08-16 08:23:00.135,3.096
2016-08-16 08:23:33.735,1.898
2016-08-16 08:24:07.335,2.834
2016-08-16 08:24:40.935,1.309
2016-08-16 08:25:14.535,2.811
2016-08-16 08:25:48.135,0.704
2016-08-16 08:26:21.735,0.388
2016-08-16 08:26:55.335,1.157
2016-08-16 08:27:28.935,1.362
2016-08-16 08:28:02.535,0.709
2016-08-16 08:28:36.135,0.374
2016-08-16 08:29:09.735,0.604
2016-08-16 08:29:43.335,1.079
2016-08-16 08:30:16.935,2.303
2016-08-16 08:30:50.535,3.223
